id,item,price_USD,qty_available,department
1,Crib,99.99,50,Baby
2,Stroller,125.79,30,Baby
3,Onsie-3pk,8.99,60,Baby
4,Pink Blanket,9.99,100,Baby
5,Blue Blanket,8.99,150,Baby
6,Yellow Blanket,8.99,75,Baby
7,Hat Pink,6.99,80,Baby
8,Hat Blue,6.99,40,Baby
9,Hat Yellow,7.99,20,Baby
10,Baby Doll,24.65,50,Toy
11,Doll Stroller,14.99,30,Toy
12,Nerf Gun,18.69,60,Toy
13,Barbie Doll,9.99,100,Toy
14,Fidget Spinner,8.99,150,Toy
15,Fidget Cube,8.99,75,Toy
16,Teddy Bear,24.99,80,Toy
17,Tea Cup Set,19.99,40,Toy
18,Jack in the Box,15.79,20,Toy
19,Monopoly,12.79,15,Toy
20,Baseball,3.99,60,Toy
21,Lite Brite,35.25,8,Toy
22,Beanie Boo,35.49,75,Toy
23,Dress,89.99,50,Women
24,Floral Shirt,25.49,30,Women
25,White Shirt,25.49,22,Women
26,Pencil Skirt,49.49,23,Women
27,Cocktail Dress,69.69,60,Women
28,Red Shoes,49.99,20,Women
29,Blue Shoes,39.89,20,Women
30,White Shoes,39.89,20,Women
31,Black Purse,24.65,30,Women
32,Black Belt,15.89,15,Women
33,Hat Yellow,12.25,20,Women
